epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.3552,1.38725,1.92649,1.20172,0.59497,0.58209,0.61529,0.36176,1.35525,2.01862,1.22738,0.000473964,0.000473964,0.000473964
2,46.9344,1.36158,1.28463,1.18206,0.67121,0.69744,0.70825,0.42339,1.33723,1.21056,1.22887,0.000938537,0.000938537,0.000938537
3,69.8571,1.35144,1.132,1.18592,0.65915,0.55993,0.63809,0.3884,1.28895,2.13222,1.22849,0.00139132,0.00139132,0.00139132
4,92.7063,1.33557,1.04666,1.18016,0.73682,0.64347,0.71225,0.43358,1.35028,1.31841,1.257,0.00137595,0.00137595,0.00137595
5,115.736,1.31991,0.98019,1.16883,0.72757,0.69963,0.76043,0.46238,1.2993,1.00557,1.20821,0.00135826,0.00135826,0.00135826
6,138.728,1.29297,0.94319,1.16352,0.68982,0.71622,0.74208,0.43797,1.38945,1.05844,1.26624,0.00134058,0.00134058,0.00134058
7,161.607,1.28589,0.91261,1.16241,0.65581,0.74688,0.76524,0.47364,1.28077,1.09517,1.20458,0.0013229,0.0013229,0.0013229
8,184.537,1.26574,0.88463,1.15559,0.7581,0.67689,0.76426,0.46619,1.25622,0.95032,1.20475,0.00130521,0.00130521,0.00130521
9,207.488,1.26697,0.87376,1.15371,0.71132,0.7413,0.79919,0.51426,1.21525,0.95259,1.18206,0.00128753,0.00128753,0.00128753
10,230.687,1.24829,0.85273,1.13467,0.74472,0.74903,0.81103,0.51885,1.20072,0.85646,1.16549,0.00126985,0.00126985,0.00126985
11,254.267,1.22919,0.82953,1.13111,0.7556,0.66747,0.77766,0.47199,1.31535,1.01315,1.20877,0.00125216,0.00125216,0.00125216
12,277.391,1.24348,0.83165,1.14763,0.75891,0.71357,0.80256,0.51069,1.24418,0.90894,1.19126,0.00123448,0.00123448,0.00123448
13,301.13,1.22524,0.81182,1.12923,0.75048,0.75591,0.83202,0.52097,1.28017,0.86177,1.20007,0.00121679,0.00121679,0.00121679
14,324.366,1.2054,0.80322,1.1166,0.7356,0.73547,0.81513,0.52421,1.1866,0.8394,1.15588,0.00119911,0.00119911,0.00119911
15,348.308,1.21188,0.78932,1.12248,0.75065,0.71894,0.81286,0.51032,1.25719,0.92362,1.19272,0.00118143,0.00118143,0.00118143
16,372.231,1.20514,0.78173,1.11786,0.73183,0.77549,0.84362,0.52264,1.22716,0.84759,1.17234,0.00116374,0.00116374,0.00116374
17,396.894,1.18327,0.7646,1.11338,0.72772,0.78356,0.82648,0.53264,1.17994,0.81822,1.15882,0.00114606,0.00114606,0.00114606
18,422.105,1.18057,0.75868,1.11192,0.75222,0.77551,0.8437,0.54469,1.17152,0.78266,1.14832,0.00112837,0.00112837,0.00112837
19,446.025,1.19124,0.75406,1.11587,0.72351,0.77155,0.82228,0.52084,1.24674,0.82907,1.20009,0.00111069,0.00111069,0.00111069
20,470.747,1.17153,0.74367,1.11209,0.77722,0.74732,0.84094,0.53288,1.22213,0.79994,1.18068,0.00109301,0.00109301,0.00109301
21,494.763,1.17806,0.74617,1.10548,0.82439,0.70469,0.83505,0.51259,1.21847,0.82778,1.17128,0.00107532,0.00107532,0.00107532
22,518.91,1.164,0.73068,1.10067,0.77788,0.77926,0.85197,0.55641,1.19555,0.77726,1.15649,0.00105764,0.00105764,0.00105764
23,542.527,1.16103,0.71522,1.10032,0.76353,0.77054,0.84171,0.53095,1.19136,0.76903,1.16463,0.00103995,0.00103995,0.00103995
24,568.629,1.14852,0.71395,1.08647,0.719,0.79535,0.82827,0.53192,1.18315,0.76775,1.1568,0.00102227,0.00102227,0.00102227
25,596.8,1.13711,0.69711,1.0829,0.79339,0.72431,0.84659,0.53415,1.20247,0.78386,1.15668,0.00100459,0.00100459,0.00100459
26,623.15,1.13819,0.70418,1.08913,0.79542,0.76331,0.85228,0.55544,1.17689,0.73866,1.14212,0.000986903,0.000986903,0.000986903
27,650.062,1.12477,0.68959,1.08356,0.72691,0.79067,0.83837,0.53263,1.201,0.7938,1.15568,0.000969219,0.000969219,0.000969219
